Movie_Title,Start_Year,Score,Adjusted_Score,Consensus,Synopsis,Director,Cast_Names
Elite Squad 2,2010,91,92.043,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.","Dirty cops and corrupt, powerful politicians threaten Nascimento (Wagner Moura).... [More]",José Padilha,"Wagner Moura, Irandhir Santos, André Ramiro, Pedro Van-Held"
Point Break,1991,70,76.204,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.","After a string of bizarre bank robberies in Southern California, with the crooks donning masks of various former presidents, a... [More]",Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty"
The Long Kiss Goodnight,1996,68,71.66,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.",Schoolteacher and single mother Samantha Caine (Geena Davis) lives an average suburban life -- until she begins having strange memories... [More],Renny Harlin,"Geena Davis, Samuel L. Jackson, Patrick Malahide, Craig Bierko"
The Guest,2014,92,97.281,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard.",A string of mysterious deaths leads a teenager to become suspicious of a soldier (Dan Stevens) who showed up on... [More],Adam Wingard,"Dan Stevens, Maika Monroe, Leland Orser, Sheila Kelley"
Taken,2008,59,65.933,"Taken is undeniably fun with slick action, but is largely a brainless exercise.","Bryan Mills (Liam Neeson), a former government operative, is trying to reconnect with his daughter, Kim (Maggie Grace). Then his... [More]",Pierre Morel,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser"
300,2006,61,70.705,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.","In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the... [More]",Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West"
True Lies,1994,70,73.669,"If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain.","Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down... [More]",James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton"
Demolition Man,1993,62,65.501,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock.","With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)... [More]",Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne"
Hardcore Henry,2015,51,57.631,"Hardcore Henry seems poised to reinvent the action flick, but without a story or characters worth caring about, its first-person gimmick quickly loses its thrill.",A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a... [More],Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Darya Charusha"
Police Story,1985,93,95.027,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats.",A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom... [More],Jackie Chan,"Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung"
